Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Comments,Fill 1: 3rd Tanker Batch,Fill 1: 3rd Tanker,Fill 1: Amount from 3rd Tanker (gal),Comments,Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Dummy 2,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Dummy 3,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Dummy 4,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill
T059-B03,WT-116:S017,james,galvin,4,BLK:06 PLN:05 POS:04,MFV 04610,73.70,5/6/2013 17:37,5/6/2013 20:46,3:09:29,swap,T59-B03,WT-169-S017,173.70,,,,,,247.4,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,30,MFV 04610,BLK:06 PLN:05 POS:04,247.40
T059-B03,WT-116:S017,james,galvin,5,BLK:06 PLN:05 POS:06,MFV 02013,93.20,5/6/2013 17:29,5/6/2013 20:34,3:05:28,swap,T59-B03,WT-169-S017,158.10,,,,,,251.3,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,31,MFV 02013,BLK:06 PLN:05 POS:06,251.30
,,james,galvin,7,BLK:06 PLN:05 POS:09,MFV 02012,,5/6/2013 20:06,5/6/2013 22:30,2:24:02,,T59-B03,WT-169-S017,252.70,,,,,,252.7,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,32,MFV 02012,BLK:06 PLN:05 POS:09,252.70
,,james,galvin,10,BLK:06 PLN:05 POS:11,MFV 04691,, 5/6/2013 20:07 ,5/6/2013 22:30,2:23:17,,T59-B03,WT-169-S017,250.80,,,,,,250.8,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,33,MFV 04691,BLK:06 PLN:05 POS:11,250.80
,,james,galvin,2,BLK:06 PLN:07 POS:00,MFV 02246,,5/6/2013 22:18,5/7/2013 0:40,2:22:28,,T59-B03,WT-169-S017,251.20,,,,,,251.2,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,34,MFV 02246,BLK:06 PLN:07 POS:00,251.20
,,james,galvin,3,BLK:06 PLN:05 POS:03,MFV 04604,,5/6/2013 20:25,5/6/2013 22:47,2:22:07,,T59-B03,WT-169-S017,245.50,,,,,,245.5,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,35,MFV 04604,BLK:06 PLN:05 POS:03,245.50
,,james,galvin,4,BLK:06 PLN:05 POS:05,MFV 04613,,5/6/2013 20:48,5/6/2013 23:20,2:32:15,,T59-B03,WT-169-S017,249.00,,,,,,249,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,36,MFV 04613,BLK:06 PLN:05 POS:05,249.00
,,james,galvin,5,BLK:06 PLN:05 POS:07,MFV 04599,,5/6/2013 20:34,5/6/2013 23:01,2:26:43,,T59-B03,WT-169-S017,254.10,,,,,,254.1,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,37,MFV 04599,BLK:06 PLN:05 POS:07,254.10
,,james,galvin,7,BLK:06 PLN:07 POS:08,MFV 04679,,5/6/2013 22:29,5/7/2013 0:51,2:21:45,,T59-B03,WT-169-S017,248.40,,,,,,248.4,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,38,MFV 04679,BLK:06 PLN:07 POS:08,248.40
,,james,galvin,10,BLK:06 PLN:07 POS:10,MFV 04699,,5/6/2013 22:30,5/7/2013 0:52,2:21:55,,T59-B03,WT-169-S017,248.00,,,,,,248,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,39,MFV 04699,BLK:06 PLN:07 POS:10,248.00
