Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Dummy 4,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill
T59-B08,WT-165:S043,Wood,James,8,BLK:18 PLN:05 POS:06,MFV 08769,23.9,10/23/2013 19:14,10/23/2013 22:14,3:00:13,swap,T64-B09,WT-116:S044,225.5,249.40,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,31,MFV 08769,BLK:18 PLN:05 POS:06,249.40
T64-B09,WT-116:S044,Wood,James,8,BLK:18 PLN:05 POS:07,MFV 08780,250.9,10/23/2013 22:15,10/24/2013 0:33,2:18:48,,,,,250.90,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,32,MFV 08780,BLK:18 PLN:05 POS:07,250.90
T59-B08,WT-165:S043,Wood,James,10,BLK:18 PLN:05 POS:08,MFV 08773,15.4,10/23/2013 19:18,10/23/2013 22:20,3:02:30,swap,T64-B09,WT-116:S044,234,249.40,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,33,MFV 08773,BLK:18 PLN:05 POS:08,249.40
T64-B09,WT-116:S044,Wood,James,10,BLK:18 PLN:05 POS:09,MFV 08779,250.7,10/23/2013 22:21,10/24/2013 0:43,2:22:08,,,,,250.70,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,34,MFV 08779,BLK:18 PLN:05 POS:09,250.70
T59-B08,WT-165:S043,Wood,James,11,BLK:18 PLN:05 POS:10,MFV 08793,25.4,10/23/2013 19:13,10/23/2013 22:14,3:00:54,swap,T64-B09,WT-116:S044,227.4,252.80,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,35,MFV 08793,BLK:18 PLN:05 POS:10,252.80
T64-B09,WT-116:S044,Wood,James,11,BLK:18 PLN:05 POS:11,MFV 08737,251.5,10/23/2013 22:15,10/24/2013 0:43,2:28:54,,,,,251.50,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,36,MFV 08737,BLK:18 PLN:05 POS:11,251.50
T64-B09,WT-116:S044,Wood,James,2,BLK:18 PLN:07 POS:00,MFV 02294,249.4,10/24/2013 0:41,10/24/2013 3:00,2:19:17,,,,,249.40,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,37,MFV 02294,BLK:18 PLN:07 POS:00,249.40
T64-B09,WT-116:S044,Wood,James,2,BLK:18 PLN:07 POS:01,MFV 08738,249.4,10/24/2013 3:00,10/24/2013 8:56,5:55:42,,,,,249.40,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,38,MFV 08738,BLK:18 PLN:07 POS:01,249.40
T64-B09,WT-116:S044,Wood,James,4,BLK:18 PLN:07 POS:02,MFV 08744,248.3,10/24/2013 0:42,10/24/2013 3:01,2:18:57,,,,,248.30,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,39,MFV 08744,BLK:18 PLN:07 POS:02,248.30
T64-B09,WT-116:S044,Wood,James,4,BLK:18 PLN:07 POS:03,MFV 08742,251.6,10/24/2013 3:01,10/24/2013 8:57,5:56:39,,,,,251.60,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,40,MFV 08742,BLK:18 PLN:07 POS:03,251.60
