Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Dummy 3,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Dummy 4,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill
T59-B09,WT-166:S049,wood,james,7,BLK:19 PLN:17 POS:07,MFV 03532,250.5,11/8/2013 0:38,11/8/2013 2:54,2:15:37,,,,,250.50,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,104,MFV 03532,BLK:19 PLN:17 POS:07,250.50
T59-B09,WT-166:S049,wood,james,10,BLK:19 PLN:17 POS:08,MFV 03378,249.7,11/7/2013 22:58,11/8/2013 1:16,2:17:47,,,,,249.70,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,105,MFV 03378,BLK:19 PLN:17 POS:08,249.70
T59-B09,WT-166:S049,wood,james,10,BLK:19 PLN:17 POS:09,MFV 08901,250.5,11/8/2013 1:16,11/11/2013 8:10,78:54:27,,,,,250.50,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,106,MFV 08901,BLK:19 PLN:17 POS:09,250.50
T59-B09,WT-166:S049,wood,james,8,BLK:19 PLN:17 POS:10,MFV 08888,250,11/7/2013 22:19,11/8/2013 0:38,2:18:51,,,,,250.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,107,MFV 08888,BLK:19 PLN:17 POS:10,250.00
T59-B09,WT-166:S049,wood,james,8,BLK:19 PLN:17 POS:11,MFV 08956,248.5,11/8/2013 0:38,11/8/2013 2:55,2:16:18,,,,,248.50,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,108,MFV 08956,BLK:19 PLN:17 POS:11,248.50
T59-B09,WT-166:S049,wood,james,2,BLK:19 PLN:19 POS:00,MFV 08950,249.1,11/8/2013 2:49,11/11/2013 9:49,78:59:46,delay cold oil,,,,249.10,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,109,MFV 08950,BLK:19 PLN:19 POS:00,249.10
T59-B09,WT-166:S049,wood,james,2,BLK:19 PLN:19 POS:01,MFV 01045,15.4,11/11/2013 9:50,11/11/2013 12:48,2:57:45,swap,T59-B09,WT-169:S045,233.7,249.10,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,110,MFV 01045,BLK:19 PLN:19 POS:01,249.10
T59-B09,WT-166:S049,wood,james,5,BLK:19 PLN:19 POS:02,MFV 08999,250,11/8/2013 2:52,11/11/2013 9:52,78:59:25,delay cold oil,,,,250.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,111,MFV 08999,BLK:19 PLN:19 POS:02,250.00
T59-B09,WT-166:S049,wood,james,5,BLK:19 PLN:19 POS:03,MFV 01707,10.2,11/11/2013 9:52,11/11/2013 12:54,3:02:08,swap,T59-B09,WT-169:S045,242.7,252.90,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,112,MFV 01707,BLK:19 PLN:19 POS:03,252.90
T59-B09,WT-166:S049,wood,james,6,BLK:19 PLN:19 POS:04,MFV 09031,251.2,11/8/2013 2:59,11/11/2013 9:54,78:55:17,delay cold oil,,,,251.20,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,113,MFV 09031,BLK:19 PLN:19 POS:04,251.20
