Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill,
T64-B11,WT-168:S030,Galvin,Jason,10,BLK:24 PLN:04 POS:03,MFV 01454,82.3,2/3/2014 7:41,2/3/2014 11:05,3:24:28,swap 20 minutes,T64-B11,WT-116:S056,166,248.30,T59-B11,WT-165:S058,wood,don,5,BLK:24 PLN:04 POS:03,MFV 01454,2.8,2/12/2014 21:37,2/12/2014 21:44,0:06:42,,,,,2.80,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,28,MFV 01454,BLK:24 PLN:04 POS:03,251.10,
T64-B11,WT-116:S056,Galvin,Jason,10,BLK:24 PLN:04 POS:04,MFV 00243,249.7,2/3/2014 13:25,2/3/2014 15:34,2:08:15,,,,,249.70,T59-B11,WT-165:S058,wood,don,5,BLK:24 PLN:04 POS:04,MFV 00243,2.2,2/12/2014 20:26,2/12/2014 20:34,0:08:00,,,,,2.20,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,29,MFV 00243,BLK:24 PLN:04 POS:04,251.90,
T64-B11,WT-116:S056,Galvin,Jason,10,BLK:24 PLN:04 POS:05,MFV 01872,244.7,2/3/2014 17:57,2/3/2014 19:28,1:30:56,,,,,244.70,T59-B11,WT-165:S058,wood,don,5,BLK:24 PLN:04 POS:05,MFV 01872,4.3,2/12/2014 18:12,2/12/2014 18:23,0:10:20,,,,,4.30,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,30,MFV 01872,BLK:24 PLN:04 POS:05,249.00,
T64-B11,WT-169:S055,wood,don,10,BLK:24 PLN:04 POS:06,MFV 10227,241.1,2/3/2014 22:25,2/4/2014 0:51,2:26:03,,,,,241.10,T59-B11,WT-165:S058,galvin,jason,5,BLK:24 PLN:04 POS:06,MFV 10227,1.9,2/12/2014 15:13,2/12/2014 15:23,0:10:33,,,,,1.90,T64-B13,WT163:S066,Trina,Brent,9,BLK:24 PLN:04 POS:06,MFV 10227,0.6,5/16/2014 7:51,5/16/2014 7:59,0:07:39,"1/4""",,,0.00,0.60,T64-B13,WT169:S064,Larry,Brent,2,BLK:24 PLN:04 POS:06,MFV 10227,0.4,8/13/2014 12:13,8/13/2014 12:16,0:02:50,"1/16""",,,0.00,0.40,,31,MFV 10227,BLK:24 PLN:04 POS:06,244.00,
T59-B11,WT-164:S053,Tommy ,Cole,10,BLK:24 PLN:04 POS:07,MFV 10205,246.3,2/4/2014 8:04,2/4/2014 10:26,2:22:52,,,,,246.30,T59-B11,WT-165:S058,galvin,jason,5,BLK:24 PLN:04 POS:07,MFV 10205,1.4,2/12/2014 13:48,2/12/2014 13:55,0:06:06,,,,,1.40,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,32,MFV 10205,BLK:24 PLN:04 POS:07,247.70,
T59-B11,WT-164:S053,Tommy ,Cole,10,BLK:24 PLN:04 POS:08,MFV 01541,246.5,2/4/2014 10:27,2/4/2014 12:31,2:04:11,,,,,246.50,T59-B11,WT-165:S058,galvin,jason,5,BLK:24 PLN:04 POS:08,MFV 01541,0.9,2/12/2014 11:41,2/12/2014 11:44,0:03:36,,,,,0.90,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,33,MFV 01541,BLK:24 PLN:04 POS:08,247.40,
T64-B11,WT-163:S057,wood,don,10,BLK:24 PLN:04 POS:09,MFV 01291,249.3,2/4/2014 19:00,2/4/2014 21:39,2:39:12,delay due to cold oil,,,,249.30,T59-B11,WT-165:S058,galvin,jason,10,BLK:24 PLN:04 POS:09,MFV 01291,2.1,2/12/2014 10:15,2/12/2014 10:20,0:05:16,,,,,2.10,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,34,MFV 01291,BLK:24 PLN:04 POS:09,251.40,
T64-B11,WT-163:S057,wood,don,10,BLK:24 PLN:04 POS:10,MFV 10256,245.1,2/5/2014 0:55,2/5/2014 7:26,6:30:06,swap,,,,245.10,T59-B11,WT-165:S058,galvin,jason,10,BLK:24 PLN:04 POS:10,MFV 10256,0.9,2/12/2014 8:20,2/12/2014 8:23,0:03:24,,,,,0.90,T64-B13,WT163:S066,Trina,Larry,9,BLK:24 PLN:04 POS:10,MFV 10256,1.4,5/14/2014 8:39,5/14/2014 8:54,0:15:11,"1 1/2""",,,0.00,1.40,,,,,,,,0.00,,,,,,,0.00,0.00,,35,MFV 10256,BLK:24 PLN:04 POS:10,247.40,
T59-B11,WT-166:S059,galvin,tommy,8,BLK:24 PLN:04 POS:11,MFV 10236,247,2/5/2014 9:37,2/5/2014 11:11,1:34:05,,,,,247.00,T59-B11,WT-165:S058,galvin,jason,10,BLK:24 PLN:04 POS:11,MFV 10236,1.1,2/12/2014 7:32,2/12/2014 7:36,0:03:40,,,,,1.10,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,36,MFV 10236,BLK:24 PLN:04 POS:11,248.10,
T64-B11,WT-165:S056,galvin,tommy,10,BLK:24 PLN:06 POS:00,MFV 02210,82,1/30/2014 23:19,1/31/2014 1:28,2:09:14,swap 10 min.,T64-B11,WT-166:S058,164.4,246.40,T59-B11,WT-165:S058,galvin,jason,5,BLK:24 PLN:06 POS:00,MFV 02210,1.8,2/13/2014 6:55,2/13/2014 6:55,0:00:04,,,,,1.80,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,37,MFV 02210,BLK:24 PLN:06 POS:00,248.20,
