#   W       w(lab)    sigT     sigL     sigLT   sigLT'   sigTT'   sigL0    sigLT0  sigLT0'
# (MeV)     (MeV)     (mcb)    (mcb)    (mcb)    (mcb)    (mcb)    (mcb)    (mcb)    (mcb)
 1645.0   1159.4     14.67     3.95    -2.10    -2.42     1.95     2.27    -1.59    -1.84
 1650.0   1168.2     15.07     4.08    -2.11    -2.56     1.62     2.38    -1.61    -1.96
 1655.0   1177.0     15.42     4.19    -2.12    -2.70     1.27     2.49    -1.63    -2.08
 1660.0   1185.8     15.70     4.27    -2.11    -2.82      .87     2.58    -1.64    -2.19
 1665.0   1194.7     15.88     4.32    -2.09    -2.92      .44     2.65    -1.63    -2.29
 1670.0   1203.6     15.96     4.32    -2.05    -2.99     -.03     2.69    -1.61    -2.36
 1675.0   1212.5     15.93     4.29    -1.99    -3.03     -.52     2.71    -1.58    -2.41
 1680.0   1221.4     15.82     4.22    -1.92    -3.04    -1.02     2.70    -1.53    -2.44
 1685.0   1230.4     15.62     4.11    -1.82    -3.03    -1.53     2.68    -1.47    -2.45
 1690.0   1239.4     15.35     3.99    -1.71    -3.00    -2.02     2.63    -1.39    -2.44
 1695.0   1248.4     15.01     3.84    -1.59    -2.95    -2.47     2.58    -1.30    -2.42
 1700.0   1257.4     14.63     3.70    -1.46    -2.89    -2.87     2.52    -1.20    -2.38
 1705.0   1266.5     14.20     3.55    -1.32    -2.81    -3.21     2.45    -1.10    -2.34
 1710.0   1275.6     13.75     3.40    -1.18    -2.73    -3.49     2.38     -.99    -2.29
 1715.0   1284.7     13.29     3.26    -1.05    -2.64    -3.72     2.32     -.89    -2.23
 1720.0   1293.9     12.83     3.13     -.93    -2.55    -3.90     2.26     -.79    -2.16
 1725.0   1303.1     12.38     3.01     -.81    -2.45    -4.03     2.20     -.69    -2.10
 1730.0   1312.3     11.94     2.90     -.70    -2.36    -4.12     2.15     -.61    -2.03
 1735.0   1321.5     11.53     2.79     -.61    -2.27    -4.19     2.10     -.53    -1.97
 1740.0   1330.8     11.13     2.69     -.52    -2.18    -4.22     2.05     -.46    -1.91
 1745.0   1340.1     10.77     2.60     -.45    -2.10    -4.24     2.01     -.39    -1.84
 1750.0   1349.4     10.42     2.51     -.38    -2.02    -4.23     1.97     -.33    -1.79
 1755.0   1358.7     10.11     2.43     -.32    -1.94    -4.22     1.93     -.28    -1.73
 1760.0   1368.1      9.82     2.35     -.26    -1.87    -4.19     1.89     -.24    -1.68
 1765.0   1377.5      9.55     2.28     -.22    -1.81    -4.15     1.86     -.20    -1.63
 1770.0   1386.9      9.30     2.21     -.17    -1.74    -4.11     1.83     -.16    -1.58
 1775.0   1396.3      9.08     2.15     -.14    -1.69    -4.06     1.80     -.13    -1.54
 1780.0   1405.8      8.88     2.09     -.11    -1.63    -4.00     1.77     -.10    -1.50
 1785.0   1415.3      8.69     2.03     -.08    -1.58    -3.95     1.74     -.07    -1.46
 1790.0   1424.8      8.52     1.97     -.05    -1.53    -3.89     1.72     -.05    -1.43
 1795.0   1434.4      8.37     1.92     -.03    -1.49    -3.83     1.69     -.03    -1.40
 1800.0   1444.0      8.23     1.87     -.02    -1.45    -3.77     1.67     -.01    -1.37
 1805.0   1453.6      8.10     1.82      .00    -1.41    -3.72     1.64      .00    -1.34
 1810.0   1463.2      7.99     1.78      .01    -1.38    -3.67     1.62      .01    -1.31
 1815.0   1472.9      7.88     1.73      .02    -1.34    -3.62     1.60      .02    -1.29
 1820.0   1482.5      7.79     1.69      .03    -1.31    -3.57     1.58      .03    -1.27
 1825.0   1492.2      7.70     1.65      .04    -1.28    -3.53     1.56      .04    -1.25
 1830.0   1502.0      7.63     1.61      .05    -1.25    -3.48     1.54      .04    -1.23
 1835.0   1511.8      7.56     1.57      .05    -1.23    -3.45     1.52      .05    -1.21
 1840.0   1521.5      7.50     1.53      .05    -1.21    -3.41     1.50      .05    -1.19
 1845.0   1531.4      7.44     1.50      .05    -1.19    -3.39     1.49      .05    -1.18
 1850.0   1541.2      7.39     1.46      .06    -1.17    -3.36     1.47      .06    -1.17
 1855.0   1551.1      7.35     1.43      .06    -1.15    -3.34     1.45      .06    -1.16
 1860.0   1561.0      7.31     1.40      .06    -1.13    -3.32     1.44      .06    -1.15
 1865.0   1570.9      7.27     1.37      .05    -1.12    -3.32     1.42      .05    -1.14
 1870.0   1580.9      7.24     1.34      .05    -1.11    -3.31     1.40      .05    -1.13
 1875.0   1590.8      7.21     1.31      .05    -1.09    -3.31     1.39      .05    -1.13
