Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Dummy 3,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Dummy 4,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill
T59-B05,WT-166:S029,wood,james,4,BLK:10 PLN:11 POS:03,MFV 00314,251.7,7/9/2013 23:06,7/10/2013 1:30,2:23:37,4,,,,251.70,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,7,MFV 00314,BLK:10 PLN:11 POS:03,251.70
T59-B05,WT-163:S028,wood,james,6,BLK:10 PLN:11 POS:06,MFV 00346,172.1,7/9/2013 20:42,7/9/2013 23:27,2:45:01,swap,T59-B05,WT-166:S029,78.9,251.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,8,MFV 00346,BLK:10 PLN:11 POS:06,251.00
T59-B05,WT-168:S001,galvin,james,10,BLK:10 PLN:05 POS:10,MFV 00351,250,7/8/2013 23:13,7/9/2013 1:33,2:20:15,,,,,250.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,9,MFV 00351,BLK:10 PLN:05 POS:10,250.00
T59-B05,WT-166:S029,daniel,jason,11,BLK:10 PLN:15 POS:04,MFV 00352,250.8,7/10/2013 9:48,7/10/2013 12:06,2:18:04,,,,,250.80,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,10,MFV 00352,BLK:10 PLN:15 POS:04,250.80
T59-B05,WT-163:S028,wood,james,10,BLK:10 PLN:09 POS:11,MFV 00660,251.8,7/9/2013 18:31,7/9/2013 20:52,2:20:57,,,,,251.80,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,11,MFV 00660,BLK:10 PLN:09 POS:11,251.80
T59-B05,WT-168:S001,galvin,james,4,BLK:10 PLN:05 POS:02,MFV 00682,251.3,7/8/2013 22:27,7/9/2013 0:50,2:22:47,,,,,251.30,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,12,MFV 00682,BLK:10 PLN:05 POS:02,251.30
T59-B05,WT-163:S028,wood,james,9,BLK:10 PLN:09 POS:09,MFV 00683,253.5,7/9/2013 17:51,7/9/2013 20:10,2:19:16,,,,,253.50,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,13,MFV 00683,BLK:10 PLN:09 POS:09,253.50
T59-B05,WT-166:S029,wood,james,6,BLK:10 PLN:11 POS:07,MFV 00684,252.6,7/9/2013 23:27,7/10/2013 1:50,2:23:01,6,,,,252.60,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,14,MFV 00684,BLK:10 PLN:11 POS:07,252.60
T59-B05,WT-163:S028,wood,james,4,BLK:10 PLN:11 POS:02,MFV 00686,207.8,7/9/2013 20:21,7/9/2013 23:06,2:44:40,swap,T59-B05,WT-166:S029,43.9,251.70,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,15,MFV 00686,BLK:10 PLN:11 POS:02,251.70
T59-B05,WT-163:S028,wood,james,6,BLK:10 PLN:09 POS:07,MFV 00689,253,7/9/2013 18:19,7/9/2013 20:42,2:23:11,,,,,253.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,16,MFV 00689,BLK:10 PLN:09 POS:07,253.00
