Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill
T059-B09,WT-116:S048,daniel,jason,2,BLK:20 PLN:09 POS:00,MFV 09349,249.3,11/21/2013 1:22,11/21/2013 6:59,5:36:47,,,,,249.30,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,49,MFV 09349,BLK:20 PLN:09 POS:00,249.30
T059-B09,WT-116:S048,galvin,blackmer,2,BLK:20 PLN:09 POS:01,MFV 09261,250.1,11/21/2013 6:59,11/21/2013 9:17,2:18:01,,,,,250.10,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,50,MFV 09261,BLK:20 PLN:09 POS:01,250.10
T059-B09,WT-116:S048,daniel,jason,4,BLK:20 PLN:09 POS:02,MFV 09263,251.5,11/21/2013 1:23,11/21/2013 7:01,5:38:51,,,,,251.50,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,51,MFV 09263,BLK:20 PLN:09 POS:02,251.50
T059-B09,WT-116:S048,galvin,blackmer,4,BLK:20 PLN:09 POS:03,MFV 09257,247.6,11/21/2013 7:02,11/21/2013 9:26,2:24:06,,,,,247.60,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,52,MFV 09257,BLK:20 PLN:09 POS:03,247.60
T059-B09,WT-116:S048,daniel,jason,5,BLK:20 PLN:09 POS:04,MFV 09272,250.2,11/21/2013 1:23,11/21/2013 7:00,5:37:05,,,,,250.20,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,53,MFV 09272,BLK:20 PLN:09 POS:04,250.20
T059-B09,WT-116:S048,galvin,blackmer,5,BLK:20 PLN:09 POS:05,MFV 09250,251.6,11/21/2013 7:00,11/21/2013 9:19,2:18:22,,,,,251.60,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,54,MFV 09250,BLK:20 PLN:09 POS:05,251.60
T059-B09,WT-116:S048,daniel,jason,7,BLK:20 PLN:09 POS:06,MFV 09252,248.7,11/21/2013 1:17,11/21/2013 6:55,5:37:55,,,,,248.70,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,55,MFV 09252,BLK:20 PLN:09 POS:06,248.70
T059-B09,WT-116:S048,galvin,blackmer,7,BLK:20 PLN:09 POS:07,MFV 09249,253.1,11/21/2013 6:55,11/21/2013 9:15,2:19:39,,,,,253.10,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,56,MFV 09249,BLK:20 PLN:09 POS:07,253.10
T059-B09,WT-116:S048,daniel,jason,8,BLK:20 PLN:09 POS:08,MFV 09209,253.1,11/21/2013 1:17,11/21/2013 6:56,5:38:09,,,,,253.10,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,57,MFV 09209,BLK:20 PLN:09 POS:08,253.10
T059-B09,WT-116:S048,galvin,blackmer,8,BLK:20 PLN:09 POS:09,MFV 09282,251.1,11/21/2013 6:56,11/21/2013 9:13,2:16:42,,,,,251.10,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,58,MFV 09282,BLK:20 PLN:09 POS:09,251.10
