Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Comments,Fill 1: 3rd Tanker Batch,Fill 1: 3rd Tanker,Fill 1: Amount from 3rd Tanker (gal),Comments,Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Dummy 4,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill,
T59-B03,WT-166:S018,daniel,jason,9,BLK:06 PLN:06 POS:07,MFV 02207,251.00,5/1/2013 8:41,5/1/2013 10:44,2:03:53,,,,,,,,,,251.00,T59-B003,WT-116:S018,jason,daniel,12,BLK:06 PLN:06 POS:07,MFV 02207,1.2,5/13/2013 12:41,5/13/2013 12:46,0:04:11,,,,,1.20,T64-B13,WT163:S066,Larry,Brent,9,BLK:06 PLN:06 POS:07,MFV 02207,0.2,6/3/2014 11:00,6/3/2014 11:04,0:04:12,full,,,0.00,0.20,,,,,,,,0.00,,,,,,,,0.00,0.00,,119,MFV 02207,BLK:06 PLN:06 POS:07,252.40,
T59-B03,WT-166:S018,daniel,jason,11,BLK:06 PLN:02 POS:07,MFV 02666,250.50,5/1/2013 8:41,5/1/2013 10:44,2:03:15,,,,,,,,,,250.50,T59-B003,WT-116:S018,jason,daniel,12,BLK:06 PLN:02 POS:07,MFV 02666,1.8,5/13/2013 12:31,5/13/2013 12:37,0:06:17,,,,,1.80,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,120,MFV 02666,BLK:06 PLN:02 POS:07,252.30,
T59-B03,WT-166:S018,daniel,jason,2,BLK:06 PLN:28 POS:07,MFV 02182,249.80,5/1/2013 10:48,5/1/2013 12:59,2:11:02,,,,,,,,,,249.80,T59-B003,WT-116:S018,jason,daniel,6,BLK:06 PLN:28 POS:07,MFV 02182,1.2,5/13/2013 13:02,5/13/2013 13:07,0:05:46,,,,,1.20,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,121,MFV 02182,BLK:06 PLN:28 POS:07,251.00,
T59-B03,WT-166:S018,daniel,jason,3,BLK:06 PLN:24 POS:07,MFV 04572,246.30,5/1/2013 10:50,5/1/2013 12:55,2:05:21,,,,,,,,,,246.30,T59-B003,WT-116:S018,jason,daniel,6,BLK:06 PLN:24 POS:07,MFV 04572,2.6,5/13/2013 12:48,5/13/2013 12:54,0:05:51,,,,,2.60,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,122,MFV 04572,BLK:06 PLN:24 POS:07,248.90,
T59-B03,WT-166:S018,daniel,jason,4,BLK:06 PLN:20 POS:07,MFV 04733,247.80,5/1/2013 10:59,5/1/2013 13:09,2:09:17,,,,,,,,,,247.80,T59-B003,WT-116:S018,jason,daniel,6,BLK:06 PLN:20 POS:07,MFV 04733,2.2,5/13/2013 12:38,5/13/2013 12:43,0:05:31,,,,,2.20,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,123,MFV 04733,BLK:06 PLN:20 POS:07,250.00,
T59-B03,WT-166:S018,daniel,jason,5,BLK:06 PLN:16 POS:07,MFV 02103,251.50,5/1/2013 10:50,5/1/2013 12:59,2:09:13,,,,,,,,,,251.50,T59-B003,WT-116:S018,jason,daniel,6,BLK:06 PLN:16 POS:07,MFV 02103,1.5,5/13/2013 12:26,5/13/2013 12:32,0:05:57,,,,,1.50,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,124,MFV 02103,BLK:06 PLN:16 POS:07,253.00,
T59-B03,WT-166:S018,daniel,jason,7,BLK:06 PLN:12 POS:07,MFV 02333,250.10,5/1/2013 10:48,5/1/2013 12:54,2:05:48,,,,,,,,,,250.10,T59-B003,WT-116:S018,jason,daniel,12,BLK:06 PLN:12 POS:07,MFV 02333,1.5,5/13/2013 12:57,5/13/2013 13:02,0:05:17,,,,,1.50,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,125,MFV 02333,BLK:06 PLN:12 POS:07,251.60,
T59-B03,WT-166:S018,daniel,jason,10,BLK:06 PLN:08 POS:07,MFV 02252,250.10,5/1/2013 10:48,5/1/2013 12:53,2:05:31,,,,,,,,,,250.10,T59-B003,WT-116:S018,jason,daniel,12,BLK:06 PLN:08 POS:07,MFV 02252,1.4,5/13/2013 12:46,5/13/2013 12:51,0:05:08,,,,,1.40,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,126,MFV 02252,BLK:06 PLN:08 POS:07,251.50,
T59-B03,WT-166:S018,daniel,jason,9,BLK:06 PLN:04 POS:07,MFV 02871,249.60,5/1/2013 10:48,5/1/2013 12:48,2:00:01,,,,,,,,,,249.60,T59-B003,WT-116:S018,jason,daniel,12,BLK:06 PLN:04 POS:07,MFV 02871,1,5/13/2013 12:38,5/13/2013 12:41,0:03:16,,,,,1.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,127,MFV 02871,BLK:06 PLN:04 POS:07,250.60,
T59-B03,WT-166:S018,daniel,jason,11,BLK:06 PLN:00 POS:07,MFV 03018,249.70,5/1/2013 10:44,5/1/2013 12:49,2:05:01,,,,,,,,,,249.70,T59-B003,WT-116:S018,jason,daniel,12,BLK:06 PLN:00 POS:07,MFV 03018,1.4,5/13/2013 12:26,5/13/2013 12:31,0:04:49,,,,,1.40,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,128,MFV 03018,BLK:06 PLN:00 POS:07,251.10,
T59-B03,WT-166:S018,daniel,jason,2,BLK:06 PLN:30 POS:08,MFV 02311,249.00,5/1/2013 13:00,5/1/2013 15:08,2:08:53,,,,,,,,,,249.00,T59-B003,WT-116:S018,jason,daniel,6,BLK:06 PLN:30 POS:08,MFV 02311,2.1,5/13/2013 11:24,5/13/2013 11:29,0:05:03,,,,,2.10,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,129,MFV 02311,BLK:06 PLN:30 POS:08,251.10,
T59-B03,WT-166:S018,daniel,jason,3,BLK:06 PLN:26 POS:08,MFV 02268,246.30,5/1/2013 12:55,5/1/2013 15:04,2:08:07,,,,,,,,,,246.30,T59-B003,WT-116:S018,jason,daniel,6,BLK:06 PLN:26 POS:08,MFV 02268,3,5/13/2013 11:09,5/13/2013 11:15,0:06:29,,,,,3.00,T64-B13,WT163:S066,Larry,Brent,9,BLK:06 PLN:26 POS:08,MFV 02268,0.5,6/3/2014 10:26,6/3/2014 10:31,0:04:31,1/4',,,0.00,0.50,,,,,,,,0.00,,,,,,,,0.00,0.00,,130,MFV 02268,BLK:06 PLN:26 POS:08,249.80,
T59-B03,WT-166:S018,daniel,jason,4,BLK:06 PLN:22 POS:08,MFV 04764,246.70,5/1/2013 13:09,5/1/2013 15:23,2:14:23,,,,,,,,,,246.70,T59-B003,WT-116:S018,jason,daniel,6,BLK:06 PLN:22 POS:08,MFV 04764,2.1,5/13/2013 10:48,5/13/2013 10:58,0:09:41,,,,,2.10,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,131,MFV 04764,BLK:06 PLN:22 POS:08,248.80,
T59-B03,WT-166:S018,daniel,jason,5,BLK:06 PLN:18 POS:08,MFV 02328,248.20,5/1/2013 13:00,5/1/2013 15:07,2:07:19,,,,,,,,,,248.20,T59-B003,WT-116:S018,jason,daniel,6,BLK:06 PLN:18 POS:08,MFV 02328,3.2,5/13/2013 10:26,5/13/2013 10:33,0:06:21,,,,,3.20,T64-B13,WT163:S066,Larry,Brent,9,BLK:06 PLN:18 POS:08,MFV 02328,0.2,6/3/2014 10:14,6/3/2014 10:17,0:03:44,"1/2""",,,0.00,0.20,,,,,,,,0.00,,,,,,,,0.00,0.00,,132,MFV 02328,BLK:06 PLN:18 POS:08,251.60,
T59-B03,WT-166:S018,daniel,jason,7,BLK:06 PLN:14 POS:08,MFV 02254,250.90,5/1/2013 12:54,5/1/2013 15:04,2:09:42,,,,,,,,,,250.90,T59-B003,WT-116:S018,jason,daniel,12,BLK:06 PLN:14 POS:08,MFV 02254,1.9,5/13/2013 11:08,5/13/2013 11:14,0:05:54,,,,,1.90,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,133,MFV 02254,BLK:06 PLN:14 POS:08,252.80,
T59-B03,WT-166:S018,daniel,jason,10,BLK:06 PLN:10 POS:08,MFV 02783,248.10,5/1/2013 12:54,5/1/2013 15:04,2:10:06,,,,,,,,,,248.10,T59-B003,WT-116:S018,jason,daniel,12,BLK:06 PLN:10 POS:08,MFV 02783,2,5/13/2013 10:46,5/13/2013 10:54,0:07:43,,,,,2.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,134,MFV 02783,BLK:06 PLN:10 POS:08,250.10,
T59-B03,WT-166:S018,daniel,jason,9,BLK:06 PLN:06 POS:08,MFV 04700,247.80,5/1/2013 12:48,5/1/2013 14:48,1:59:29,,,,,,,,,,247.80,T59-B003,WT-116:S018,jason,daniel,12,BLK:06 PLN:06 POS:08,MFV 04700,1.5,5/13/2013 10:34,5/13/2013 10:40,0:05:21,,,,,1.50,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,135,MFV 04700,BLK:06 PLN:06 POS:08,249.30,
T59-B03,WT-166:S018,daniel,jason,11,BLK:06 PLN:02 POS:08,MFV 02660,249.90,5/1/2013 12:49,5/1/2013 14:51,2:01:39,,,,,,,,,,249.90,T59-B003,WT-116:S018,jason,daniel,12,BLK:06 PLN:02 POS:08,MFV 02660,2.2,5/13/2013 10:24,5/13/2013 10:31,0:06:58,,,,,2.20,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,136,MFV 02660,BLK:06 PLN:02 POS:08,252.10,
T59-B03,WT-166:S018,daniel,jason,2,BLK:06 PLN:28 POS:08,MFV 02136,56.50,5/1/2013 15:09,5/1/2013 17:47,2:38:43,swap,T59-B03,WT-163:S018,192.3,,,,,,248.80,T59-B003,WT-116:S018,jason,daniel,6,BLK:06 PLN:28 POS:08,MFV 02136,2.1,5/13/2013 11:16,5/13/2013 11:24,0:07:17,,,,,2.10,T64-B13,WT163:S066,Larry,Brent,9,BLK:06 PLN:28 POS:08,MFV 02136,0.2,6/3/2014 10:32,6/3/2014 10:38,0:06:29,full,,,0.00,0.20,,,,,,,,0.00,,,,,,,,0.00,0.00,,137,MFV 02136,BLK:06 PLN:28 POS:08,251.10,
T59-B03,WT-166:S018,daniel,jason,3,BLK:06 PLN:24 POS:08,MFV 04576,62.30,5/1/2013 15:04,5/1/2013 17:47,2:42:13,swap,T59-B03,WT-163:S018,186.9,,,,,,249.20,T59-B003,WT-116:S018,jason,daniel,6,BLK:06 PLN:24 POS:08,MFV 04576,3.1,5/13/2013 10:58,5/13/2013 11:09,0:10:35,,,,,3.10,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,138,MFV 04576,BLK:06 PLN:24 POS:08,252.30,
T59-B03,WT-166:S018,daniel,jason,4,BLK:06 PLN:20 POS:08,MFV 04731,25.00,5/1/2013 15:24,5/1/2013 17:55,2:31:20,swap,T59-B03,WT-163:S018,216.2,,,,,,241.20,T59-B003,WT-116:S018,jason,daniel,6,BLK:06 PLN:20 POS:08,MFV 04731,6.8,5/13/2013 10:33,5/13/2013 10:48,0:15:17,,,,,6.80,T64-B13,WT163:S066,Larry,Brent,9,BLK:06 PLN:20 POS:08,MFV 04731,0.8,6/3/2014 10:18,6/3/2014 10:26,0:07:36,"7/8""",,,0.00,0.80,,,,,,,,0.00,,,,,,,,0.00,0.00,,139,MFV 04731,BLK:06 PLN:20 POS:08,248.80,
T59-B03,WT-166:S018,daniel,jason,5,BLK:06 PLN:16 POS:08,MFV 04582,58.80,5/1/2013 15:07,5/1/2013 17:43,2:36:06,swap,T59-B03,WT-163:S018,189.2,,,,,,248.00,T59-B003,WT-116:S018,jason,daniel,6,BLK:06 PLN:16 POS:08,MFV 04582,5.1,5/13/2013 10:16,5/13/2013 10:26,0:10:35,,,,,5.10,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,140,MFV 04582,BLK:06 PLN:16 POS:08,253.10,
T59-B03,WT-166:S018,daniel,jason,7,BLK:06 PLN:12 POS:08,MFV 04704,61.30,5/1/2013 15:04,5/1/2013 17:41,2:36:54,swap,T59-B03,WT-163:S018,185.4,,,,,,246.70,T59-B003,WT-116:S018,jason,daniel,12,BLK:06 PLN:12 POS:08,MFV 04704,4.2,5/13/2013 10:54,5/13/2013 11:08,0:14:09,,,,,4.20,T64-B13,WT163:S066,Larry,Brent,9,BLK:06 PLN:12 POS:08,MFV 04704,0.3,6/3/2014 10:09,6/3/2014 10:13,0:04:06,full,,,0.00,0.30,,,,,,,,0.00,,,,,,,,0.00,0.00,,141,MFV 04704,BLK:06 PLN:12 POS:08,251.20,
T59-B03,WT-166:S018,daniel,jason,10,BLK:06 PLN:08 POS:08,MFV 02251,66.70,5/1/2013 15:04,5/1/2013 17:42,2:37:38,swap,T59-B03,WT-163:S018,183.1,,,,,,249.80,T59-B003,WT-116:S018,jason,daniel,12,BLK:06 PLN:08 POS:08,MFV 02251,1.6,5/13/2013 10:40,5/13/2013 10:46,0:05:46,,,,,1.60,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,142,MFV 02251,BLK:06 PLN:08 POS:08,251.40,
T59-B03,WT-166:S018,daniel,jason,9,BLK:06 PLN:04 POS:08,MFV 02864,103.70,5/1/2013 14:48,5/1/2013 17:28,2:40:25,swap,T59-B03,WT-163:S018,145.9,,,,,,249.60,T59-B003,WT-116:S018,jason,daniel,12,BLK:06 PLN:04 POS:08,MFV 02864,1.2,5/13/2013 10:31,5/13/2013 10:34,0:03:25,,,,,1.20,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,143,MFV 02864,BLK:06 PLN:04 POS:08,250.80,
T59-B03,WT-166:S018,daniel,jason,11,BLK:06 PLN:00 POS:08,MFV 03016,97.80,5/1/2013 14:51,5/1/2013 17:28,2:36:55,swap,T59-B03,WT-163:S018,151.2,,,,,,249.00,T59-B003,WT-116:S018,jason,daniel,12,BLK:06 PLN:00 POS:08,MFV 03016,2.7,5/13/2013 10:16,5/13/2013 10:23,0:07:46,,,,,2.70,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,144,MFV 03016,BLK:06 PLN:00 POS:08,251.70,
T59-B03,WT-163:SO18,wood,james,2,BLK:06 PLN:30 POS:09,MFV 02004,249.10,5/1/2013 18:32,5/1/2013 20:47,2:14:51,LL1,,,,,,,,,249.10,T59-B003,WT-116:S018,jason,daniel,6,BLK:06 PLN:30 POS:09,MFV 02004,1.2,5/13/2013 9:42,5/13/2013 9:48,0:05:29,,,,,1.20,T64-B13,WT163:S066,Larry,Brent,4,BLK:06 PLN:30 POS:09,MFV 02004,0.5,6/3/2014 8:21,6/3/2014 8:26,0:04:39,1/8',,,0.00,0.50,,,,,,,,0.00,,,,,,,,0.00,0.00,,145,MFV 02004,BLK:06 PLN:30 POS:09,250.80,
T59-B03,WT-163:SO18,wood,james,3,BLK:06 PLN:26 POS:09,MFV 02204,248.20,5/1/2013 18:34,5/1/2013 20:48,2:13:59,,,,,,,,,,248.20,T59-B003,WT-116:S018,jason,daniel,6,BLK:06 PLN:26 POS:09,MFV 02204,2.2,5/13/2013 9:28,5/13/2013 9:36,0:08:58,,,,,2.20,T64-B13,WT163:S066,Larry,Brent,4,BLK:06 PLN:26 POS:09,MFV 02204,0.4,6/3/2014 8:09,6/3/2014 8:13,0:04:14,1/4',,,0.00,0.40,,,,,,,,0.00,,,,,,,,0.00,0.00,,146,MFV 02204,BLK:06 PLN:26 POS:09,250.80,
T59-B03,WT-163:SO18,wood,james,4,BLK:06 PLN:22 POS:09,MFV 02771,248.40,5/1/2013 18:36,5/1/2013 20:54,2:17:39,,,,,,,,,,248.40,T59-B003,WT-116:S018,jason,daniel,6,BLK:06 PLN:22 POS:09,MFV 02771,2.1,5/13/2013 8:34,5/13/2013 8:42,0:07:40,,,,,2.10,T64-B13,WT163:S066,Larry,Brent,4,BLK:06 PLN:22 POS:09,MFV 02771,0.5,6/3/2014 8:02,6/3/2014 8:08,0:06:33,"3/4""",,,0.00,0.50,,,,,,,,0.00,,,,,,,,0.00,0.00,,147,MFV 02771,BLK:06 PLN:22 POS:09,251.00,
T59-B03,WT-163:SO18,wood,james,5,BLK:06 PLN:18 POS:09,MFV 02184,247.40,5/1/2013 18:38,5/1/2013 20:56,2:18:50,,,,,,,,,,247.40,T59-B003,WT-116:S018,jason,daniel,6,BLK:06 PLN:18 POS:09,MFV 02184,4.6,5/13/2013 8:15,5/13/2013 8:23,0:08:35,,,,,4.60,T64-B13,WT163:S066,Larry,Brent,4,BLK:06 PLN:18 POS:09,MFV 02184,0.4,6/3/2014 7:48,6/3/2014 7:52,0:04:35,"3/8""",,,0.00,0.40,,,,,,,,0.00,,,,,,,,0.00,0.00,,148,MFV 02184,BLK:06 PLN:18 POS:09,252.40,
T59-B03,WT-163:SO18,wood,james,7,BLK:06 PLN:14 POS:09,MFV 02762,250.10,5/1/2013 18:39,5/1/2013 21:00,2:20:25,,,,,,,,,,250.10,T59-B003,WT-116:S018,jason,daniel,12,BLK:06 PLN:14 POS:09,MFV 02762,1.7,5/13/2013 9:43,5/13/2013 9:48,0:05:33,,,,,1.70,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,149,MFV 02762,BLK:06 PLN:14 POS:09,251.80,
T59-B03,WT-163:SO18,wood,james,10,BLK:06 PLN:10 POS:09,MFV 04825,247.00,5/1/2013 18:41,5/1/2013 20:57,2:16:01,,,,,,,,,,247.00,T59-B003,WT-116:S018,jason,daniel,12,BLK:06 PLN:10 POS:09,MFV 04825,1.5,5/13/2013 9:28,5/13/2013 9:33,0:05:45,,,,,1.50,T64-B13,WT163:S066,Larry,Brent,4,BLK:06 PLN:10 POS:09,MFV 04825,0.5,6/3/2014 7:35,6/3/2014 7:39,0:04:04,"3/4""",,,0.00,0.50,,,,,,,,0.00,,,,,,,,0.00,0.00,,150,MFV 04825,BLK:06 PLN:10 POS:09,249.00,
T59-B03,WT-163:SO18,wood,james,9,BLK:06 PLN:06 POS:09,MFV 04673,248.70,5/1/2013 18:43,5/1/2013 20:58,2:14:46,,,,,,,,,,248.70,T59-B003,WT-116:S018,jason,daniel,12,BLK:06 PLN:06 POS:09,MFV 04673,1.9,5/13/2013 8:35,5/13/2013 8:44,0:08:18,,,,,1.90,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,151,MFV 04673,BLK:06 PLN:06 POS:09,250.60,
T59-B03,WT-163:SO18,wood,james,11,BLK:06 PLN:02 POS:09,MFV 04813,248.00,5/1/2013 18:44,5/1/2013 20:59,2:14:59,,,,,,,,,,248.00,T59-B003,WT-116:S018,jason,daniel,12,BLK:06 PLN:02 POS:09,MFV 04813,2.7,5/13/2013 8:13,5/13/2013 8:22,0:09:01,,,,,2.70,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,152,MFV 04813,BLK:06 PLN:02 POS:09,250.70,
T59-B03,WT-163:SO18,wood,james,2,BLK:06 PLN:28 POS:09,MFV 02343,249.30,5/1/2013 20:47,5/1/2013 22:56,2:08:40,,,,,,,,,,249.30,T59-B003,WT-116:S018,jason,daniel,6,BLK:06 PLN:28 POS:09,MFV 02343,3,5/13/2013 9:37,5/13/2013 9:42,0:05:34,,,,,3.00,T64-B13,WT163:S066,Larry,Brent,4,BLK:06 PLN:28 POS:09,MFV 02343,0.3,6/3/2014 8:14,6/3/2014 8:20,0:05:41,"1/4""",,,0.00,0.30,,,,,,,,0.00,,,,,,,,0.00,0.00,,153,MFV 02343,BLK:06 PLN:28 POS:09,252.60,
T59-B03,WT-163:SO18,wood,james,3,BLK:06 PLN:24 POS:09,MFV 04577,244.50,5/1/2013 20:48,5/1/2013 22:55,2:06:22,,,,,,,,,,244.50,T59-B003,WT-116:S018,jason,daniel,6,BLK:06 PLN:24 POS:09,MFV 04577,5,5/13/2013 8:42,5/13/2013 8:53,0:10:43,,,,,5.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,154,MFV 04577,BLK:06 PLN:24 POS:09,249.50,
T59-B03,WT-163:SO18,wood,james,4,BLK:06 PLN:20 POS:09,MFV 04774,243.90,5/1/2013 20:54,5/1/2013 23:07,2:13:03,,,,,,,,,,243.90,T59-B003,WT-116:S018,jason,daniel,6,BLK:06 PLN:20 POS:09,MFV 04774,4.3,5/13/2013 8:24,5/13/2013 8:34,0:10:14,,,,,4.30,T64-B13,WT163:S066,Larry,Brent,4,BLK:06 PLN:20 POS:09,MFV 04774,1.7,6/3/2014 7:54,6/3/2014 8:01,0:07:29,"1 1/2""",,,0.00,1.70,,,,,,,,0.00,,,,,,,,0.00,0.00,,155,MFV 04774,BLK:06 PLN:20 POS:09,249.90,
T59-B03,WT-163:SO18,wood,james,5,BLK:06 PLN:16 POS:09,MFV 04585,250.80,5/1/2013 20:57,5/1/2013 23:08,2:11:10,,,,,,,,,,250.80,T59-B003,WT-116:S018,jason,daniel,6,BLK:06 PLN:16 POS:09,MFV 04585,2.6,5/13/2013 8:03,5/13/2013 8:15,0:11:09,,,,,2.60,T64-B13,WT163:S066,Larry,Brent,4,BLK:06 PLN:16 POS:09,MFV 04585,0.3,6/3/2014 7:44,6/3/2014 7:47,0:03:06,full,,,0.00,0.30,,,,,,,,0.00,,,,,,,,0.00,0.00,,156,MFV 04585,BLK:06 PLN:16 POS:09,253.70,
T59-B03,WT-163:SO18,wood,james,7,BLK:06 PLN:12 POS:09,MFV 04714,246.20,5/1/2013 21:00,5/1/2013 23:07,2:07:17,,,,,,,,,,246.20,T59-B003,WT-116:S018,jason,daniel,12,BLK:06 PLN:12 POS:09,MFV 04714,2.5,5/13/2013 9:34,5/13/2013 9:42,0:08:32,,,,,2.50,T64-B13,WT163:S066,Larry,Brent,4,BLK:06 PLN:12 POS:09,MFV 04714,0.3,6/3/2014 7:41,6/3/2014 7:43,0:02:45,"3/8""",,,0.00,0.30,,,,,,,,0.00,,,,,,,,0.00,0.00,,157,MFV 04714,BLK:06 PLN:12 POS:09,249.00,
T59-B03,WT-163:SO18,wood,james,10,BLK:06 PLN:08 POS:09,MFV 02255,250.50,5/1/2013 20:57,5/1/2013 23:07,2:10:26,,,,,,,,,,250.50,T59-B003,WT-116:S018,jason,daniel,12,BLK:06 PLN:08 POS:09,MFV 02255,1.6,5/13/2013 8:44,5/13/2013 8:51,0:06:47,,,,,1.60,T64-B13,WT163:S066,Larry,Brent,,BLK:06 PLN:08 POS:09,MFV 02255,0,,,,full,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,158,MFV 02255,BLK:06 PLN:08 POS:09,252.10,
T59-B03,WT-163:SO18,wood,james,9,BLK:06 PLN:04 POS:09,MFV 02011,249.50,5/1/2013 20:58,5/1/2013 23:03,2:04:13,,,,,,,,,,249.50,T59-B003,WT-116:S018,jason,daniel,12,BLK:06 PLN:04 POS:09,MFV 02011,2.6,5/13/2013 8:22,5/13/2013 8:35,0:13:10,,,,,2.60,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,159,MFV 02011,BLK:06 PLN:04 POS:09,252.10,
T59-B03,WT-163:SO18,wood,james,11,BLK:06 PLN:00 POS:09,MFV 03019,250.00,5/1/2013 21:00,5/1/2013 23:03,2:03:51,,,,,,,,,,250.00,T59-B003,WT-116:S018,jason,daniel,12,BLK:06 PLN:00 POS:09,MFV 03019,2.4,5/13/2013 8:03,5/13/2013 8:13,0:09:08,,,,,2.40,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,160,MFV 03019,BLK:06 PLN:00 POS:09,252.40,
T59-B03,WT-163:SO18,wood,james,2,BLK:06 PLN:30 POS:10,MFV 04662,169.10,5/1/2013 22:56,5/2/2013 16:22,17:25:52,swap,T59-B03,WT-165:S017,77.7,,,,,,246.80,T59-B003,WT-116:S018,jason,daniel,6,BLK:06 PLN:30 POS:10,MFV 04662,3.1,5/13/2013 7:54,5/13/2013 8:01,0:06:38,,,,,3.10,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,161,MFV 04662,BLK:06 PLN:30 POS:10,249.90,
T59-B03,WT-163:SO18,wood,james,3,BLK:06 PLN:26 POS:10,MFV 04703,170.00,5/1/2013 22:55,5/2/2013 16:20,17:24:34,swap,T59-B03,WT-165:S017,74.4,,,,,,244.40,T59-B003,WT-116:S018,jason,daniel,6,BLK:06 PLN:26 POS:10,MFV 04703,4,5/13/2013 7:33,5/13/2013 7:44,0:10:40,,,,,4.00,T64-B13,WT163:S066,Brent,Perko,4,BLK:06 PLN:26 POS:10,MFV 04703,0.4,5/30/2014 15:52,5/30/2014 15:56,0:04:04,"1/4"" #4 fill mach. Repair edgeport",,,0.00,0.40,,,,,,,,0.00,,,,,,,,0.00,0.00,,162,MFV 04703,BLK:06 PLN:26 POS:10,248.80,
