Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Comments,Fill 1: 3rd Tanker Batch,Fill 1: 3rd Tanker,Fill 1: Amount from 3rd Tanker (gal),Comments,Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill
T64-B12,WT-164:S057,wood,perko,12,BLK:26 PLN:05 POS:10,MFV 10715,250.4,3/13/2014 11:17,3/13/2014 13:39,2:21:26,,,,,,,,,,250.4,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,30,MFV 10715,BLK:26 PLN:05 POS:10,250.40
T64-B12,WT-164:S057,wood,perko,1,BLK:26 PLN:05 POS:01,MFV 06592,251.2,3/13/2014 13:23,3/13/2014 15:43,2:19:43,,,,,,,,,,251.2,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,31,MFV 06592,BLK:26 PLN:05 POS:01,251.20
T64-B12,WT-164:S057,wood,perko,3,BLK:26 PLN:05 POS:03,MFV 10697,249.9,3/13/2014 13:19,3/13/2014 15:37,2:17:33,,,,,,,,,,249.9,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,32,MFV 10697,BLK:26 PLN:05 POS:03,249.90
T64-B12,WT-164:S057,wood,perko,4,BLK:26 PLN:05 POS:05,MFV 10799,251.9,3/13/2014 13:36,3/13/2014 15:56,2:20:51,,,,,,,,,,251.9,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,33,MFV 10799,BLK:26 PLN:05 POS:05,251.90
T64-B12,WT-164:S057,wood,perko,5,BLK:26 PLN:05 POS:07,MFV 06595,251.9,3/13/2014 13:34,3/13/2014 15:56,2:21:38,,,,,,,,,,251.9,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,34,MFV 06595,BLK:26 PLN:05 POS:07,251.90
T64-B12,WT-164:S057,wood,perko,8,BLK:26 PLN:05 POS:09,MFV 10618,248.7,3/13/2014 13:30,3/13/2014 15:53,2:23:00,,,,,,,,,,248.7,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,35,MFV 10618,BLK:26 PLN:05 POS:09,248.70
T64-B12,WT-164:S057,wood,perko,12,BLK:26 PLN:05 POS:11,MFV 07263,251.8,3/13/2014 15:59,3/13/2014 16:00,0:00:36,,,,,,,,,,251.8,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,36,MFV 07263,BLK:26 PLN:05 POS:11,251.80
T64-B12,WT-164:S057,wood,perko,1,BLK:26 PLN:07 POS:00,MFV 10698,248.8,3/13/2014 15:43,3/14/2014 8:29,16:45:16,,,,,,,,,,248.8,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,37,MFV 10698,BLK:26 PLN:07 POS:00,248.80
T64-B12,WT-164:S057,wood,perko,3,BLK:26 PLN:07 POS:02,MFV 10825,250.9,3/13/2014 15:37,3/14/2014 8:22,16:45:04,,,,,,,,,,250.9,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,38,MFV 10825,BLK:26 PLN:07 POS:02,250.90
T64-B12,WT-164:S057,wood,perko,4,BLK:26 PLN:07 POS:04,MFV 10828,251.3,3/13/2014 15:57,3/14/2014 8:52,16:55:37,,,,,,,,,,251.3,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,39,MFV 10828,BLK:26 PLN:07 POS:04,251.30
